hotel_id,name,hotel_link,stars,rating,reviews,address,intro,price,room_type,province
42,Khách sạn Peridot Grand Luxury Boutique Hà Nội,https://www.ivivu.com/khach-san-ha-noi/peridot-grand-hotel-spa,5.0,5.0,,33 Đường Thành,"Quận Hoàn Kiếm, Gần Phố Cổ & Hồ Gươm, Ngay Phố Cổ",4.630.500,DOUBLE DELUXE PREMIER,ha-noi
43,Hotel de l'Opera Hà Nội - MGallery,https://www.ivivu.com/khach-san-ha-noi/de-lopera-hanoi-mgallery-collection,5.0,21.0,,"29 Tràng Tiền, quận Hoàn Kiếm","Quận Hoàn Kiếm, Gần Phố Cổ & Hồ Gươm, Kiến trúc Pháp, Gần nhà hát lớn",5.970.000,"Superior Room, 2 Single Size Beds",ha-noi
44,Khách sạn Novotel Hà Nội Thái Hà,https://www.ivivu.com/khach-san-ha-noi/novotel-ha-noi-thai-ha,4.0,9.0,,2 Thái Hà,"Quận Đống Đa, Gần Đại Học Y, Gần Học Viện Ngân Hàng",2.750.000,Superior,ha-noi
45,Khách sạn Victor Gallery Hotel & Spa Hà Nội,https://www.ivivu.com/khach-san-ha-noi/ha-noi-victor-gallery-hotel-spa,3.0,4.0,,"95 Hàng Gai, Q. Hoàn Kiếm","Quận Hoàn Kiếm, Hồ Hoàn Kiếm, Phố Hàng Gai, Đền Ngọc Sơn",1.660.000,Double or Twin CLASSIC QUEEN BED,ha-noi
46,Khách sạn Grand Vista Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-grand-vista-ha-noi,5.0,16.0,,146 Giảng Võ,"Quận Ba Đình, Gần Ga Cát Linh, Gần Hồ Giảng Võ",1.862.500,Deluxe Twin Bed Room,ha-noi
47,Khách sạn Grand Mercure Hà Nội,https://www.ivivu.com/khach-san-ha-noi/grand-mercure-hanoi,5.0,5.0,,"9 P. Cát Linh, quận Đống Đa","Quận Đống Đa, Gần Văn Miếu, Gần ga tàu điện Cát Linh",4.933.500,"Deluxe Room, Twin Beds",ha-noi
48,Khách sạn Signature by M Village Hà Nội,https://www.ivivu.com/khach-san-ha-noi/signature-by-m-village-ha-noi,4.0,0.0,,"84 P. Thợ Nhuộm, Trần Hưng Đạo","Quận Hoàn Kiếm, Gần Phố Cổ & Hồ Gươm",1.430.000,Studio Room,ha-noi
49,Khách sạn Emerald Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-emerald-ha-noi,3.0,4.0,,"64 Triệu Việt Vương , quận Hai Bà Trưng","Quận Hai Bà Trưng, Dịch vụ phòng 24h, Phòng gia đình, Dịch vụ tour",1.754.500,SUPERIOR,ha-noi
50,Khách sạn Dal Vostro Valentino Hà Nội,https://www.ivivu.com/khach-san-ha-noi/dal-vostro-hotel-spa,4.0,32.0,,"12 Phố Báo Khánh, quận Hoàn Kiếm","Quận Hoàn Kiếm, Gần Phố Cổ & Hồ Gươm, Gần Hồ Hoàn Kiếm, Gần phố cổ",1.540.000,Classic Double,ha-noi
51,Khách sạn La Siesta Premium Hàng Bè Hà Nội,https://www.ivivu.com/khach-san-ha-noi/la-siesta-premium-hang-be-ha-noi,4.0,9.0,,27 Hàng Bè,"Quận Hoàn Kiếm, Gần Phố Cổ & Hồ Gươm, Gần hồ Hoàn Kiếm, Ngay Phố Cổ",2.691.000,Superior Room without Window,ha-noi
52,La Sinfonía del Rey Hotel & Spa Hà Nội,https://www.ivivu.com/khach-san-ha-noi/la-sinfonia-del-rey-hotel-spa,4.0,4.0,,33-35 Hàng Dầu,"Quận Hoàn Kiếm, Gần Phố Cổ & Hồ Gươm, Gần Phố Cổ, Gần Hồ Gươm",2.122.500,DOUBLE INNER,ha-noi
53,Khách sạn Minasi Premium Hà Nội,https://www.ivivu.com/khach-san-ha-noi/minasi-premium-hotel,4.0,2.0,,"57 P. Nguyễn Trường Tộ, quận Ba Đình","Gần Phố Cổ & Hồ Gươm, Quận Ba Đình, Gần Lăng Bác, Gần Hồ Gươm",1.100.000,Deluxe,ha-noi
54,Khu căn hộ Somerset Grand Hà Nội,https://www.ivivu.com/khach-san-ha-noi/somerset-grand-ha-noi,4.0,33.0,,"49 Hai Bà Trưng, quận Hoàn Kiếm","Quận Hoàn Kiếm, Hồ bơi ngoài trời, Sân tennis, Phòng gia đình, Bãi đỗ xe, Phòng gym, +1, ",2.788.000,1-Bedroom Premier Twin,ha-noi
55,Wil'que Westlake Hotel & Residences Hà Nội,https://www.ivivu.com/khach-san-ha-noi/somerset-west-lake-ha-noi,4.0,17.0,,"254-D Thụy Khuê, quận Tây Hồ","Quận Tây Hồ, căn hộ, Somerset West Lake, Căn hộ Hà Nội, Trung tâm Hà Nội",1.397.000,Studio Executive,ha-noi
56,Khách sạn Champton Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-the-light-ha-noi,4.0,0.0,,"128-130 Hàng Bông, Hoàn Kiếm","Gần Phố Cổ & Hồ Gươm, tiêu chuẩn Châu Âu, Trung tâm thành phố, Spa & Gym",1.477.500,TWIN INNER,ha-noi
57,Khách sạn Mercure Hà Nội La Gare,https://www.ivivu.com/khach-san-ha-noi/khach-san-mercure-ha-noi-la-gare,4.0,3.0,,"94 Lý Thường Kiệt, quận Hoàn Kiếm","Quận Hoàn Kiếm, Gần ga Hà Nội",2.574.000,"Classic room , city view- 2 single bed",ha-noi
58,Khách sạn Thắng Lợi Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-thang-loi-ha-noi,4.0,1.0,,"200 phố Yên Phụ, quận Tây Hồ","Quận Tây Hồ, Ngay Hồ Tây",680.000,Deluxe Garden View,ha-noi
59,Khách sạn La Siesta Classic Mã Mây Hà Nội,https://www.ivivu.com/khach-san-ha-noi/hanoi-la-siesta-hotel-spa,4.0,3.0,,"94 Phố Mã Mây, quận Hoàn Kiếm","Quận Hoàn Kiếm, Gần hồ Hoàn Kiếm, Gần phố cổ",1.593.500,Superior Room without Window,ha-noi
60,Khách sạn Sheraton Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-sheraton-ha-noi,5.0,2.0,,"K5 Nghi Tàm - 11 Xuân Diệu, quận Tây Hồ","Quận Tây Hồ, Trong Nghi Tàm, Bên Hồ Tây",8.830.000,"Guest Room, 2 Twin, High Floor",ha-noi
61,Khách sạn Grand Cititel Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-grand-cititel-ha-noi,4.0,16.0,,13b Tông Đản,"Quận Hoàn Kiếm, Gần Phố Cổ & Hồ Gươm, Ngay Phố Cổ, Gần Hồ Hoàn Kiếm",1.132.000,Superior Double Room,ha-noi
62,Anise Hotel & Spa Hà Nội,https://www.ivivu.com/khach-san-ha-noi/anise-hanoi,3.0,3.0,,22 Quán Thánh,"Quận Ba Đình, Gần Phố Cổ & Hồ Gươm, Gần Phố Cổ, Chợ Đồng Xuân",1.153.000,Superior Double,ha-noi
63,Hà Nội Babylon Grand Hotel & Spa,https://www.ivivu.com/khach-san-ha-noi/hanoi-babylon-grand-hotel-spa,4.0,0.0,,57 Phạm Hồng Thái,"Quận Ba Đình, Gần Phố Cổ & Hồ Gươm, Gần Hồ Tây, Gần Phố Cổ",1.765.000,Deluxe Double or Twin Room,ha-noi
64,Khách sạn The Five Suites Lilas Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-the-five-suites-lilas-ha-noi,5.0,0.0,,"số 9, phố Nguyễn Biểu",Quận Ba Đình,2.655.000,Grand Premier Suite,ha-noi
65,Khách sạn Imperial Hà Nội,https://www.ivivu.com/khach-san-ha-noi/hanoi-imperial,4.0,55.0,,"44 Hàng Hành, quận Hoàn Kiếm","Quận Hoàn Kiếm, Ngay Phố Cổ, Gần Hồ Hoàn Kiếm",1.520.500,Deluxe Room,ha-noi
66,Khách sạn Church Boutique 21 Hàng Cá Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-church-boutique-21-hang-ca-ha-noi,3.0,2.0,,"Số 21 Hàng Cá, Q. Hoàn Kiếm","Quận Hoàn Kiếm, Hồ Hoàn Kiếm, Nhà hát Múa rối Nước Thăng Long",1.024.000,Standard Double Room,ha-noi
67,Khách sạn Mia Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-mia-ha-noi,3.0,0.0,,"số 90, ngõ 116 phố Thanh Hòa",Quận Thanh Xuân,529.500,Deluxe Room - Day use for 2 hours,ha-noi
68,Khách sạn Daewoo Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-daewoo-ha-noi,5.0,35.0,,"360 Kim Mã, quận Ba Đình","Quận Ba Đình, Ngay công viên Thủ Lệ, Gần hồ Tây",2.136.500,Deluxe Room,ha-noi
69,Khách sạn Silk Path Boutique Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-silk-path-boutique-ha-noi,3.0,4.0,,"21 Hàng Khay, quận Hoàn Kiếm","Quận Hoàn Kiếm, Gần Phố Cổ & Hồ Gươm, Ngay phố cổ, Hướng hồ Hoàn Kiếm",2.200.000,Deluxe,ha-noi
