hotel_id,name,hotel_link
162,Khách sạn Hà Nội Rendezvous,https://www.ivivu.com/khach-san-ha-noi/khach-san-rendezvous-ha-noi
163,Khách sạn Tú Linh Palace,https://www.ivivu.com/khach-san-ha-noi/khach-san-tu-linh-palace-ha-noi
164,Hotel Des Arts - The Noble,https://www.ivivu.com/khach-san-ha-noi/khach-san-noble-boutique-ha-noi
165,Khách sạn Công Đoàn Việt Nam Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-cong-doan-ha-noi
166,Khách Sạn và Spa Splendid Star Grand,https://www.ivivu.com/khach-san-ha-noi/splendid-star-grand-hotel
167,Khách sạn Little Diamond Hà Nội,https://www.ivivu.com/khach-san-ha-noi/little-hanoi-diamond
168,Khách sạn Hanoi Discovery,https://www.ivivu.com/khach-san-ha-noi/hanoi-discovery-hotel
169,Khách sạn Thiên Thai,https://www.ivivu.com/khach-san-ha-noi/thien-thai-hotel
170,Khách sạn Hà Nội Morning.,https://www.ivivu.com/khach-san-ha-noi/morning-star-hotel
171,Khách sạn Hà Nội Emotion,https://www.ivivu.com/khach-san-ha-noi/hanoi-emotion-hotel
172,Khách sạn A25 Hotel - 45 Phan Chu Trinh Hà Nội,https://www.ivivu.com/khach-san-ha-noi/a25-hotel-phan-chu-trinh
173,Hanoi House Hostel & Travel,https://www.ivivu.com/khach-san-ha-noi/hanoi-guest-house
174,Khách sạn Spa Aira Boutique Hà Nội,https://www.ivivu.com/khach-san-ha-noi/essence-hanoi-hotel-spa
175,Khách sạn Hanoi A1,https://www.ivivu.com/khach-san-ha-noi/hanoi-a1-hotel
176,Khách sạn Luxury,https://www.ivivu.com/khach-san-ha-noi/luxury-hotel
177,Khách sạn Hanoi Central Park,https://www.ivivu.com/khach-san-ha-noi/hanoi-central-park-hotel
178,Khách sạn Kingly Hà Nội,https://www.ivivu.com/khach-san-ha-noi/golden-time-hostel-2
179,Khách sạn Silk trung tâm Hà Nội,https://www.ivivu.com/khach-san-ha-noi/essence-d'orient-hotel-spa
180,Khách sạn Lucky 3 Hà Nội,https://www.ivivu.com/khach-san-ha-noi/lucky-3-hotel
181,Khách sạn Lucky 2,https://www.ivivu.com/khach-san-ha-noi/lucky-2-hotel
182,Khách sạn Sunset Westlake Hà Nội,https://www.ivivu.com/khach-san-ha-noi/sunset-westlake-hanoi-hotel
183,My Way Hotel & Residence,https://www.ivivu.com/khach-san-ha-noi/my-way-hotel-residence
184,Khách sạn Boutique & Spa Serene,https://www.ivivu.com/khach-san-ha-noi/hanoi-legacy-hotel-bat-su
185,Khách sạn Sao Mai,https://www.ivivu.com/khach-san-ha-noi/windy-hotel
186,Hanoi City Guest House,https://www.ivivu.com/khach-san-ha-noi/hanoi-city-hostel
187,Khách sạn E Central Hà Nội,https://www.ivivu.com/khach-san-ha-noi/hanoi-elegance-emerald-hotel
188,Khách sạn Văn Miếu 2,https://www.ivivu.com/khach-san-ha-noi/van-mieu-2-hotel
189,Golden Art Hotel,https://www.ivivu.com/khach-san-ha-noi/art-trendy-hotel
190,Mai Charming Hotel and Spa,https://www.ivivu.com/khach-san-ha-noi/mai-charming-boutique-hotel
191,Ambassador Hanoi Boutique Hotel & Spa,https://www.ivivu.com/khach-san-ha-noi/art-boutique-hotel-hanoi
192,Khách sạn Larosa Hà Nội,https://www.ivivu.com/khach-san-ha-noi/hanoi-larosa-hotel
193,Romantique Hotel De Hanoi,https://www.ivivu.com/khach-san-ha-noi/icon-36-hotel-residence
194,Khách sạn L'Heritage,https://www.ivivu.com/khach-san-ha-noi/celia-hotel-hanoi
195,Khách sạn Ancient Paradise Hà Nội,https://www.ivivu.com/khach-san-ha-noi/hanoi-old-town-hotel
196,Khách sạn Spring Flower,https://www.ivivu.com/khach-san-ha-noi/spring-flower-hotel
197,Khách sạn Boutique Au Coeur d'Hanoi,https://www.ivivu.com/khach-san-ha-noi/au-coeur-d'hanoi-boutique-hotel
198,Khách sạn Sunny 1,https://www.ivivu.com/khach-san-ha-noi/sunny-hotel-1
199,Khách sạn Luxeden Hà Nội,https://www.ivivu.com/khach-san-ha-noi/luxeden-hotel
200,Khách sạn A25 - 19 Phan Đình Phùng Hà Nội,https://www.ivivu.com/khach-san-ha-noi/time-square-hotel
201,Khách sạn Hanoi Posh Boutique,https://www.ivivu.com/khach-san-ha-noi/hanoi-posh-hotel
202,Khách sạn Hanoi Chic,https://www.ivivu.com/khach-san-ha-noi/hanoi-chic-hotel
203,Khách sạn Hanoi Focus,https://www.ivivu.com/khach-san-ha-noi/hanoi-focus-hotel
204,Khách sạn Hà Nội Bonsella,https://www.ivivu.com/khach-san-ha-noi/diamond-hotel-hanoi
205,Khách sạn De Syloia Hà Nội,https://www.ivivu.com/khach-san-ha-noi/de-syloia-hotel
206,Khách sạn Atrium Hà Nội,https://www.ivivu.com/khach-san-ha-noi/atrium-hanoi-hotel
207,Khách sạn Luxor Boutique Hà Nội,https://www.ivivu.com/khach-san-ha-noi/luxor-boutique-ha-noi
208,Khách sạn Eclipse Legend Hà Nội,https://www.ivivu.com/khach-san-ha-noi/eclipse-legend-hotel
209,Khách sạn Little Hà Nội,https://www.ivivu.com/khach-san-ha-noi/little-hanoi-hostel-2
210,Khách sạn Elegant Suites Westlake Hà Nội,https://www.ivivu.com/khach-san-ha-noi/elegant-suites-westlake
211,Khách sạn Hanoi Evergreen,https://www.ivivu.com/khach-san-ha-noi/hanoi-evergreen-hotel
212,Khách sạn Blue Hanoi Inn,https://www.ivivu.com/khach-san-ha-noi/blue-hanoi-inn-hotel
213,Khách sạn Bonne Nuit Hà Nội,https://www.ivivu.com/khach-san-ha-noi/eco-hanoi-hotel
214,Khách sạn Hanoi Little Town,https://www.ivivu.com/khach-san-ha-noi/ha-long-hotel
215,Khách Sạn Hà Nội Royal,https://www.ivivu.com/khach-san-ha-noi/hanoi-guest-house-royal
216,Violet Hotel,https://www.ivivu.com/khach-san-ha-noi/violet-hotel
217,Khách sạn A25 - 61 Lương Ngọc Quyến Hà Nội,https://www.ivivu.com/khach-san-ha-noi/a25-luong-ngoc-quyen-hotel
218,Khách sạn A25 - 45B Giảng Võ Hà Nội,https://www.ivivu.com/khach-san-ha-noi/a25-hotel-giang-vo
219,Khách sạn Mango Hà Nội,https://www.ivivu.com/khach-san-ha-noi/mango-hotel-hanoi
220,Khách sạn A25 - 197 Thành Nhàn Hà Nội,https://www.ivivu.com/khach-san-ha-noi/a25-hotel-thanh-nhan
221,Khách sạn Thang Long Espana,https://www.ivivu.com/khach-san-ha-noi/thang-long-espana-hotel
222,Khách sạn A25 - Đội Cấn 2 Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-a25-doi-can-2
223,Khách sạn A25 - 53 Tuệ Tĩnh Hà Nội,https://www.ivivu.com/khach-san-ha-noi/a25-hotel-tue-tinh
224,Khách sạn A25 - 12 Liên Trì Hà Nội,https://www.ivivu.com/khach-san-ha-noi/a25-hotel-lien-tri
225,Hanoi Street Hotel,https://www.ivivu.com/khach-san-ha-noi/hanoi-street-hotel
226,Khách sạn A25 - 12 Ngô Sỹ Liên Hà Nội,https://www.ivivu.com/khach-san-ha-noi/a25-ngo-si-lien
227,Khách sạn A25 - 46 Châu Long Hà Nội,https://www.ivivu.com/khach-san-ha-noi/a25-hotel-chau-long
228,Khách sạn Tryst,https://www.ivivu.com/khach-san-ha-noi/tryst-hotel
229,Khách sạn A25 - Đội Cấn 1 Hà Nội,https://www.ivivu.com/khach-san-ha-noi/a25-hotel-doi-can
230,Dragon Hotel,https://www.ivivu.com/khach-san-ha-noi/dragon-hotel
231,Khách sạn Serenity Villa Hà Nội,https://www.ivivu.com/khach-san-ha-noi/serenity-villa-hotel
232,Khách sạn Sân bay Nội Bài,https://www.ivivu.com/khach-san-ha-noi/noi-bai-airport-hotel
233,Khách sạn Eco Luxury Hà Nội,https://www.ivivu.com/khach-san-ha-noi/eco-luxury-hotel-hanoi
234,Hanoi HM Boutique Hotel,https://www.ivivu.com/khach-san-ha-noi/hanoi-hm-boutique-hotel
235,Milton Boutique Hotel,https://www.ivivu.com/khach-san-ha-noi/milton-boutique-hotel
236,Khách sạn Le Foyer,https://www.ivivu.com/khach-san-ha-noi/le-foyer-hotel
237,Khách sạn Hanoi Chic,https://www.ivivu.com/khach-san-ha-noi/hanoi-chic-boutique-hotel
238,Atlanta Residences,https://www.ivivu.com/khach-san-ha-noi/atlanta-residences
